fecha,viajes,media,mediana,desv_est
2024-01-01,109479,4.942841663280509,3,5.8918126781761355
2024-01-02,630828,17.6662932676151,12,19.26858853759186
2024-01-03,684225,19.260380014074595,14,20.431598477088265
2024-01-04,696338,19.72293661134085,14,20.800204648266703
2024-01-05,664831,18.796997370578755,14,19.111278469677377
2024-01-06,316405,10.134364690432722,7,11.46431856937891
2024-01-07,159626,6.572757967553323,4,8.208782053821228
2024-01-08,529133,18.203908212061787,12,19.97614213490503
2024-01-09,543590,18.67044478791001,13,20.289260240837343
2024-01-10,541798,18.746038336447306,12,20.99689633658589
2024-01-11,561299,19.096349470962476,13,20.59434748045429
2024-01-12,541505,18.411022711818305,13,19.644439072737626
2024-01-13,273554,10.47698199923401,7,12.067503375515884
2024-01-14,142288,6.864862256959522,5,8.00319727428383
2024-01-15,505535,17.484695465707468,12,19.297407178918718
2024-01-16,492997,16.885772023564872,11,18.7210785564138
2024-01-17,556916,18.85549837486457,13,20.781557752310736
2024-01-18,551788,18.63330294127579,13,20.471354508631094
2024-01-19,527023,17.697212894560106,12,18.801138680888013
2024-01-20,267717,10.164281104066214,7,11.366254619846268
2024-01-21,148571,7.196464034875272,5,8.206745131871202
2024-01-22,518105,17.67673149095872,12,19.617638825176098
2024-01-23,556750,18.854346574553826,13,20.99144991194966
2024-01-24,410047,19.31268839487566,12,23.63618539710951
2024-01-25,558352,18.861331621795088,13,20.820368138449467
2024-01-26,486585,17.29956980836918,12,18.62362369363547
2024-01-27,254049,9.719527125258244,7,10.77239839669763
2024-01-28,139972,6.746939168996433,5,7.736350393331387
2024-01-29,514808,17.646728139032668,12,19.354515157079323
2024-01-30,531989,18.11828213336966,12,19.88472296057421
2024-01-31,540506,18.48136497298776,12,20.31090651271992
2024-02-01,533509,18.089956598399567,12,20.086833256399647
2024-02-02,505551,17.16175572000815,12,18.438102286149867
2024-02-03,240013,9.172705037071008,6,9.728181417876625
2024-02-04,143639,6.876627728839525,5,7.864574863412487
2024-02-05,544620,18.46419853539463,12,20.32757853295632
2024-02-06,556964,18.768162825178596,13,20.537458296203898
2024-02-07,564741,19.033433318728726,13,21.346301907543662
2024-02-08,446783,16.971169186355695,10,20.085472742415664
2024-02-09,530134,17.95725221868437,13,18.837015989261545
2024-02-10,237747,9.210359121372951,6,10.180361990654754
2024-02-11,145047,6.923814979235286,5,7.937646083920795
2024-02-12,127667,6.282206475740577,4,6.707769439308723
2024-02-13,180640,8.34827618079305,6,9.113949473011417
2024-02-14,608446,20.447155291191986,14,21.439628904954994
2024-02-15,607020,20.334315958729732,14,21.881044890828477
2024-02-16,556462,18.884243390911866,13,19.744127978609978
2024-02-17,262052,10.068854222700377,7,10.838804257938188
2024-02-18,133371,6.457705902290225,4,6.898345703919663
2024-02-19,557349,19.660270203534516,13,21.598461674778704
2024-02-20,595635,20.00050367684094,14,21.56139265458051
2024-02-21,444011,15.871706881143878,11,16.460267102303053
2024-02-22,616301,20.59691865517011,14,21.97155328985151
2024-02-23,596182,19.931198181331908,14,20.62293269013179
2024-02-24,284861,10.813536802945753,7,11.80391784023496
2024-02-25,142559,6.911616406477262,5,7.559066406068004
2024-02-26,547802,18.695037881373285,13,20.205132834772996
2024-02-27,633364,21.116356604654264,15,22.269901627592397
2024-02-28,641412,21.46195543063642,15,22.770015890820453
2024-02-29,646612,21.507134541826044,15,22.809541211769346
2024-03-01,555771,20.125692558392178,14,21.016939989831318
2024-03-02,267429,10.201373259584207,7,11.147772397461257
2024-03-03,161363,7.635593621350495,5,8.681158728482588
2024-03-04,632022,21.12867315214121,15,22.539366869411925
2024-03-05,663580,21.958305757776305,15,23.622641030158125
2024-03-06,665060,21.802386572252818,15,23.43050961846128
2024-03-07,823355,22.40604675211582,16,23.237572388044818
2024-03-08,862077,23.317654377755538,17,23.5447188550056
2024-03-09,400283,12.104112488660418,8,12.766062311152126
2024-03-10,228459,8.662609486975315,6,9.539455413517969
2024-03-11,784057,21.579154510926404,15,22.796279920490875
2024-03-12,657496,18.311591377485655,12,20.171898727633927
2024-03-13,767704,21.087293303301653,15,22.495765343012106
2024-03-14,806626,22.022114229551164,16,23.34632096693813
2024-03-15,876473,23.62269897312886,17,24.105296323500163
2024-03-16,404095,12.207939337180147,9,12.951046282246852
2024-03-17,234462,8.835286581000114,6,9.884060029195789
2024-03-18,889881,24.07556409285212,17,26.097021200831172
2024-03-19,929675,25.433616939786063,18,27.145459833833964
2024-03-20,637717,18.22777682501572,12,21.11468770922765
2024-03-21,964961,25.823882034950625,19,26.53334628575802
2024-03-22,920917,24.568924579142543,18,24.374044323698257
2024-03-23,434467,12.925179984530255,9,13.747021408866575
2024-03-24,397409,14.650482931504829,9,17.59664319546019
2024-03-25,917377,24.64411014103425,18,25.444267217481254
2024-03-26,972964,25.972024985318455,19,26.55830973085411
2024-03-27,969565,25.752742436718105,19,25.499407965919406
2024-03-28,419831,14.231076912647028,11,13.191285963817284
2024-03-29,281803,10.225814645474998,7,10.686257237673363
2024-03-30,368893,11.367342536669543,8,12.744974507630806
2024-03-31,210439,8.034476175931582,6,8.769947983302968
2024-04-01,186000,6.856131814663275,5,8.040275448395693
2024-04-02,181588,6.688570481417363,4,7.921687064936394
2024-04-03,665940,18.124761852920365,12,20.022488167913462
2024-04-04,768696,20.53360401752324,15,21.65909156742893
2024-04-05,750994,19.991854119526156,15,20.788530859991237
2024-04-06,349964,10.38931275048241,7,11.218546859051353
2024-04-07,184499,6.85538587299818,5,7.3485530706141775
2024-04-08,742701,19.835509975162246,14,21.57252053094485
