linea,total_viajes,media_viajes,mediana_viajes,sd_viajes
LineaB,50423199,18.80337954574186,13,19.37180564704815
LineaA,41170071,16.336545348417793,10,18.308868019514726
LineaD,34606264,17.79757533928845,12,17.999646155681013
LineaC,32528567,22.420815125239518,11,30.383659655809133
LineaH,22606254,17.492497330423888,12,18.724977864141547
LineaE,20052333,12.927656098597213,7,17.66014403537853
